0	-117.6027	161.5286        70.5128
1	-82.9727	87.7585	        107.0592
2	-117.6027	72.2113 	106.0432
3	-92.2141	80.0949	        116.0134
4	-86.2138	96.987   	122.6796
5	-102.6702	75.0957 	108.7022
6	-58.8401	129.0492	72.169
7	-75.3688	91.5178 	93.905
8	-97.0844	22.4057 	115.8543
9	-101.1874	18.6077 	127.3053
10	-111.0116	13.8925 	122.3735
11	-80.4636	34.4474 	181.3088
12	-77.5616	36.7561 	178.5367
13	-77.7447	36.7908 	181.315
14	-80.5962	81.618  	127.0584
15	-74.0963	78.7615 	146.303
16	-76.8562	69.8276 	132.932
17	-117.6026	167.5667	208.4416
18	-102.7885	166.0207	209.1254
19	-100.1408	169.9447	175.3243
20	-42.1092	60.4761 	81.3805
21	-56.6174	55.8523 	97.0375
22	-86.0716	31.6544 	125.2093
23	-89.0945	36.8285 	116.6703
24	-80.0371	58.1132 	127.5109
25	-77.0265	48.2727 	135.5134
26	-117.6027	12.5849 	127.4737
27	-107.978	14.6546 	128.1874
28	-84.7556	19.9734 	167.2845
29	-92.3136	17.6273 	168.0289
30	-92.4462	15.9385 	160.9585
31	-86.7941	18.0787 	158.0918
32	-112.0702	4.5851  	166.5819
33	-117.6026	1.2699  	169.3255
34	-117.6026	-1.622  	166.3925
35	-82.67  	25.3657 	183.5656
36	-84.2422	24.691  	183.3201
37	-83.333	        25.7276 	183.0405
38	-94.0756	16.451  	189.4954
39	-87.7159	17.4412 	188.5503
40	-88.5813	20.8654 	189.7768
41	-94.5847	19.4763 	190.3731
42	-117.6026	151.9025	240.7044
43	-117.6026	-5.7115 	160.6589
44	-117.6027	-4.4443 	155.4525
45	-107.5308	26.5638	        182.5959
46	-109.8745	20.5023 	183.8045
47	-112.8886	17.2452 	183.5514
48	-108.8566	20.898  	178.1633
49	-113.1682	11.4957 	197.2136
50	-117.6026	9.7679  	198.2009
51	-117.6026	11.743  	184.7535
52	-113.2999	14.5063 	187.1457
53	-108.9162	5.2639  	153.0047
54	-111.9566	0.324   	152.5259
55	-111.4518	10.3085 	154.4777
56	-78.0846	26.677  	210.5444
57	-71.0253	40.6269 	209.5703
58	-82.3569	29.4477 	227.3536
59	-95.4492	14.9314 	212.2147
60	-94.7977	31.1448 	110.6818
61	-104.7611	16.6067	        113.6709
62	-71.592	        76.2475 	150.7009
63	-74.1085	59.3035 	144.0943
64	-60.8426	18.0937 	202.4934
65	-82.5756	2.9115  	243.8989
66	-100.5051	27.1536 	246.3983
67	-92.1846	4.8398  	251.9315
68	-105.335	18.2658 	169.1086
69	-95.1676	23.6697 	136.7386
70	-94.3393	20.7344 	138.71
71	-106.2164	24.7663 	184.7494
72	-106.4461	24.5737 	185.1137
73	-117.6026	8.8373  	137.8808
74	-113.2304	8.4965  	141.153
75	-117.6026	10.9556 	141.7483
76	-110.1463	19.9202 	106.5266
77	-105.2805	38.9664 	104.4903
78	-80.0959	52.4626 	261.6382
79	-105.5642	56.5368 	269.9843
80	-100.5313	16.4222 	261.1239
81	-59.9634	67.3755 	111.4149
82	-101.3902	24.2859 	107.7435
83	-79.4631	26.6589 	150.7464
84	-78.6319	38.9015 	144.6472
85	-74.3109	50.158  	153.4567
86	-75.6971	37.0357 	167.2658
87	-89.5205	21.447  	142.1607
88	-117.6026	6.7981  	149.9032
89	-113.4608	7.1187  	151.4571
90	-84.7632	21.4322 	181.8792
91	-58.2926	59.8089 	169.7059
92	-59.3384	47.2038 	182.7644
93	-66.6042	56.965  	187.0923
94	-85.6657	20.6968 	185.6827
95	-84.2821	20.2033 	185.7401
96	-117.6027	10.6568 	181.1851
97	-114.745	11.8125 	181.406
98	-97.8002	18.607	        140.0077
99	-104.1681	12.5364 	137.0068
100	-105.4694	11.5685 	213.4245
101	-117.6027	16.1917 	105.978
102	-114.2232	12.4202 	110.8982
103	-117.6026	11.743  	116.9846
104	-67.4605	76.3274 	159.278
105	-61.2173	101.2373	242.4848
106	-117.6027	35.7991 	102.4322
107	-103.8781	14.0544 	153.5637
108	-106.9894	8.5441  	159.9955
109	-106.0838	10.9509 	153.791
110	-87.7383	17.5232 	187.7519
111	-100.6201	18.1989 	187.8478
112	-100.8039	18.0246 	188.0785
113	-107.402	11.0097 	141.4141
114	-100.0352	15.6681 	151.2441
115	-107.0934	12.5576 	151.927
116	-76.7543	35.1545 	186.1617
117	-80.7819	29.6962 	186.0635
118	-63.1405	94.9611 	179.7818
119	-64.9391	100.1941	175.8748
120	-52.5587	85.3583	        156.8768
121	-98.1384	51.1371 	109.9318
122	-87.0086	64.8829 	120.3575
123	-95.6919	20.2974 	130.5256
124	-117.6026	9.5189  	212.8601
125	-100.4261	15.1693 	165.5306
126	-100.692	20.4794 	172.9419
127	-109.1003	7.7514  	163.1747
128	-107.6859	5.2745  	159.0653
129	-84.5761	21.5995 	181.4591
130	-87.4695	19.4292 	180.6523
131	-85.8016	22.0508 	175.5977
132	-82.6578	26.8641 	177.9504
133	-117.6026	12.4099 	120.2796
134	-89.8509	16.0931 	200.9991
135	-81.7099	22.6061 	198.2058
136	-85.615 	21.713  	182.2208
137	-117.6027	0.5288	152.394
138	-78.7251	29.7097	169.5283
139	-106.9985	13.0848	196.2109
140	-85.6944	30.1117	134.4317
141	-64.2601	82.5755	171.3613
142	-67.9926	63.9651	170.5977
143	-49.6576	77.4318	219.5146
144	-62.8506	120.5391	222.7351
145	-64.4839	83.4728	180.8536
146	-91.4972	24.1728	119.871
147	-82.7803	27.1187	182.8793
148	-117.6026	13.4149	122.4392
149	-82.9774	161.1578	187.2641
150	-53.7384	138.8508	175.7343
151	-58.2014	80.6835	125.6886
152	-43.7752	101.9	108.2045
153	-112.4898	8.0026	173.2475
154	-117.6026	6.4562	174.9013
155	-111.2808	1.7367	162.7226
156	-110.8533	0.4659	157.2882
157	-88.0035	20.1759	186.9713
158	-107.4753	17.0822	187.7126
159	-117.6026	13.0721	232.8705
160	-117.6026	25.3993	247.4385
161	-84.02	20.1871	185.9351
162	-106.257	10.2767	137.1597
163	-74.119	139.2315	240.3014
164	-74.0993	126.1556	249.9107
165	-105.7946	14.8689	192.7193
166	-85.7657	20.6194	192.4729
167	-83.76	23.5579	187.8217
168	-107.2576	11.6668	162.5152
169	-111.6531	11.0611	150.8922
170	-108.0092	26.7933	183.5072
171	-117.6027	177.5714	166.1808
172	-73.1765	45.5475	177.654
173	-109.5202	14.0852	171.946
174	-92.4197	17.9249	179.2794
175	-101.0848	19.4602	180.1167
176	-92.1357	20.0035	171.955
177	-72.6933	49.843	188.2105
178	-78.4765	32.2027	194.7684
179	-80.9898	26.1307	190.0527
180	-113.1026	8.0709	137.1354
181	-117.6027	126.1204	261.636
182	-95.1589	124.4025	258.6564
183	-102.8563	150.3163	238.7292
184	-93.8988	16.4576	188.6158
185	-102.0842	13.9998	140.6282
186	-46.2188	92.0462	201.8579
187	-55.525	74.4782	159.6227
188	-91.0597	159.7027	141.0228
189	-117.6027	162.1727	118.938
190	-102.6955	16.2429	130.6716
191	-95.0773	15.7229	151.2957
192	-117.6026	8.6866	148.4915
193	-114.5303	9.9697	149.6173
194	-101.0278	19.3077	180.6811
195	-100.9288	20.5476	181.0692
196	-104.9202	27.0676	182.7527
197	-66.9247	39.7736	198.298
198	-117.6027	26.4345	253.898
199	-117.6026	96.013	269.7491
200	-93.8158	15.7696	198.6725
201	-94.8882	16.2665	193.6829
202	-100.8822	19.2446	187.8642
203	-94.0005	17.6118	187.931
204	-96.2434	19.4117	230.022
205	-96.8696	22.2258	134.917
206	-82.3344	26.4282	183.8797
207	-87.588	19.3748	181.002
208	-89.9138	25.849	138.0318
209	-45.3279	144.9238	153.5901
210	-52.097	88.8693	147.2152
211	-117.6026	170.719	138.2677
212	-115.2061	-5.2545	159.9753
213	-115.2147	-4.0371	156.0602
214	-89.5533	20.546	181.1851
215	-108.9907	17.9217	185.5605
216	-83.5363	22.1268	197.1364
217	-94.7453	20.403	144.2251
218	-92.4341	17.7954	179.8087
219	-108.5206	12.606	152.7294
220	-52.9624	111.4413	204.2004
221	-117.6027	8.6455	135.8498
222	-84.4829	157.523	212.2397
223	-100.6985	13.8526	157.1626
224	-104.8925	12.4249	160.6758
225	-104.8691	26.9476	183.5646
226	-98.9167	14.2803	200.2742
227	-90.6231	17.8278	187.4655
228	-92.8817	19.4126	180.5531
229	-77.7185	32.3565	195.7303
230	-104.0749	12.4177	136.2213
231	-117.6027	10.9095	133.6544
232	-117.6026	8.844	134.8347
233	-111.7253	11.6878	133.7111
234	-100.4452	19.4366	133.7573
235	-97.8264	20.9782	135.6954
236	-108.9865	12.7944	134.5526
237	-104.1212	16.1174	135.0676
238	-111.9902	8.4235	136.061
239	-117.6027	8.6084	135.549
240	-108.7362	12.0399	132.1935
241	-104.8983	15.0528	134.2863
242	-117.6026	10.6194	131.7902
243	-117.6026	11.0778	134.1336
244	-115.4331	8.2711	136.7065
245	-109.244	8.9108	137.208
246	-101.9034	15.5428	137.0859
247	-102.0591	15.7121	136.2557
248	-115.1015	11.1503	133.7031
249	-115.1018	8.0126	135.9759
250	-109.2852	12.4935	133.8452
251	-108.8417	9.3518	136.1459
252	-102.3118	15.9236	135.3925
253	-102.9334	16.8931	134.602
254	-104.6124	12.7486	135.1921
255	-111.6445	9.3177	135.0862
256	-108.986	10.5474	135.0429
257	-114.8583	8.6995	135.0103
258	-106.2368	10.6359	136.2072
259	-106.8242	11.3193	135.1
260	-107.2679	13.3958	133.985
261	-103.5746	14.9823	133.0572
262	-114.1962	13.244	127.5005
263	-105.3287	15.2407	129.1575
264	-106.6403	14.0825	134.6779
265	-108.4627	12.2776	129.9007
266	-105.9598	13.0835	130.4927
267	-106.2256	13.0847	132.4068
268	-113.9954	11.0243	131.8128
269	-114.1302	11.36	129.4302
270	-117.6027	11.503	129.295
271	-114.1843	11.3687	134.2747
272	-101.0772	18.8379	135.8681
273	-103.0565	15.0603	131.6285
274	-100.6904	18.5975	135.2236
275	-111.6304	11.8823	134.4419
276	-111.448	11.4038	131.9735
277	-111.2425	11.6537	129.7643
278	-111.1074	13.9164	127.8361
279	-105.42	10.0976	158.4786
280	-104.3125	12.7209	157.3383
281	-53.1094	126.3285	202.2166
282	-67.2503	128.1827	232.2388
283	-42.7929	91.4824	72.9569
284	-117.6027	165.2574	88.9794
285	-117.6027	189.9963	71.6297
286	-59.703	95.3961	179.6522
287	-60.3261	101.3669	176.0971
288	-60.8979	97.7221	174.1046
289	-59.4197	99.106	174.4018
290	-58.8176	94.4103	177.2649
291	-60.9052	93.396	176.2886
292	-60.77	88.7272	173.6396
293	-61.9943	87.5509	174.5064
294	-60.865	88.4496	169.1039
295	-62.3098	85.4611	168.3749
296	-60.1553	86.2485	175.1756
297	-64.2827	84.2638	157.9682
298	-66.3097	86.873	160.2919
299	-66.194	83.8505	161.3822
300	-64.9548	80.6245	159.2514
301	-63.9059	87.6974	164.0411
302	-65.0541	84.8111	163.7155
303	-60.9954	90.0361	165.3404
304	-62.8787	96.1735	155.1898
305	-59.864	104.9412	168.8233
306	-59.0137	101.4045	167.8195
307	-61.9545	93.53	156.6838
308	-64.8294	86.7022	151.34
309	-71.8003	78.2342	146.3937
310	-67.9609	77.6911	150.3319
311	-67.7539	88.2293	148.466
312	-59.9403	99.6518	168.2023
313	-60.8282	96.9312	173.2027
314	-60.0604	98.4482	167.8441
315	-63.7413	82.1287	163.8992
316	-62.2806	88.9609	160.185
317	-59.9499	85.2759	177.0869
318	-60.8685	92.6131	175.1514
319	-105.2684	8.1048	155.7726
320	-104.25	11.2871	155.0558
321	-78.1982	27.3427	161.7448
322	-80.9182	21.9233	158.5876
323	-61.3922	100.0472	159.4688
